Video_ID,Title,beautiful,funny,ingenious,ok,fascinating,total_count,persuasive,inspiring,longwinded,informative,jaw-dropping,obnoxious,confusing,courageous,unconvincing,Totalviews,Retention_time_in_days,Video_Length_(sec),Nb_Words_in_Transcript_(without_tags),Words_per_second,Keywords,Is_a_Talk?,url
1819,3 reasons we still haven’t gotten rid of malaria,7,4,18,30,43,601,142,55,12,243,8,0,2,17,20,1122176,1501,918,2547,2.77450980392,big problems;disease;global issues;history;insects,Yes,https://www.ted.com/talks/sonia_shah_3_reasons_we_still_haven_t_gotten_rid_of_malaria
2365,Art that lets you talk back to NSA spies,15,62,61,35,42,596,28,114,12,100,5,10,12,84,16,959984,724,776,1778,2.2912371134000002,Europe;Internet;Surveillance;art;communication;democracy;government;intelligence;politics;security;technology;telecom,Yes,https://www.ted.com/talks/mathias_jud_art_that_lets_you_talk_back_to_nsa_spies
2451,The gospel of doubt,666,97,104,48,206,3440,311,1121,38,102,92,18,50,504,83,1423271,590,1099,2645,2.40673339399,God;big problems;business;capitalism;community;education;faith;inequality;social change;society,Yes,https://www.ted.com/talks/casey_gerald_the_gospel_of_doubt
831,How art gives shape to cultural change,63,1,16,77,49,671,29,125,64,102,9,26,21,36,53,527775,2746,748,1845,2.46657754011,art;cities;culture;design;entertainment;race,Yes,https://www.ted.com/talks/thelma_golden_how_art_gives_shape_to_cultural_change
1736,Learn to read Chinese ... with ease!,175,510,638,91,567,3704,111,403,6,991,103,26,12,32,39,3079502,1629,370,769,2.07837837838,china;education;language,Yes,https://www.ted.com/talks/shaolan_learn_to_read_chinese_with_ease
1036,Let's talk parenting taboos,188,705,98,188,196,3287,178,491,71,597,36,69,12,372,86,2116738,2502,1028,3169,3.0826848249000003,children;communication;culture;entertainment;sex;web,Yes,https://www.ted.com/talks/rufus_griscom_alisa_volkman_let_s_talk_parenting_taboos
2692,Should we simplify spelling?,9,5,40,16,23,451,105,53,6,101,3,5,12,50,23,459801,220,973,2025,2.08119218911,TED en Espaol;TEDx;children;communication;education;grammar;innovation;language;literature;teaching;writing,Yes,https://www.ted.com/talks/karina_galperin_why_don_t_we_write_words_the_way_pronounce_them
292,Stephen Hawking's zero g flight,216,69,12,40,78,890,13,264,0,18,45,2,0,122,11,499302,3401,241,615,2.55186721992,business;flight;science;space;technology;universe,Yes,https://www.ted.com/talks/peter_diamandis_on_stephen_hawking_in_zero_g
1822,Why bees are disappearing,227,27,29,54,556,3634,721,593,20,1134,144,22,11,83,13,2454630,1496,957,2252,2.35318704284,agriculture;animals;bees;big problems;biodiversity;botany;climate change;conservation;ecology;environment;food;garden;green;history;insects;plants;pollution;science;sustainability,Yes,https://www.ted.com/talks/marla_spivak_why_bees_are_disappearing
298,Peace on Earth,243,0,27,18,48,595,8,150,3,0,65,4,5,16,8,329023,3399,559,597,1.06797853309,entertainment;guitar;live music;music;peace;performance;singer;storytelling,No,https://www.ted.com/talks/raul_midon_plays_everybody_and_peace_on_earth
833,Glowing life in an underwater world,223,16,69,15,354,1256,35,130,10,197,187,1,0,16,3,581220,2743,1039,3292,3.16843118383,animals;design;exploration;fish;mission blue;oceans;science;technology,Yes,https://www.ted.com/talks/edith_widder_glowing_life_in_an_underwater_world
1558,Demand a more open-source government,17,3,40,22,43,572,113,131,23,95,22,8,3,30,22,518192,1863,1043,2834,2.7171620326,data;democracy;global issues;government;politics,Yes,https://www.ted.com/talks/beth_noveck_demand_a_more_open_source_government
2094,Big data is better data,22,8,38,89,236,1523,128,207,58,625,22,30,12,14,34,1318712,1125,951,2307,2.42586750789,data;future;technology,Yes,https://www.ted.com/talks/kenneth_cukier_big_data_is_better_data
2278,One woman  five characters  and a sex lesson from the future,104,428,309,88,161,1546,48,86,29,106,47,12,16,85,27,1539095,866,1528,3691,2.41557591623,culture;future;humor;performance;sex,Yes,https://www.ted.com/talks/sarah_jones_one_woman_five_characters_and_a_sex_lesson_from_the_future
2181,How butterflies self-medicate,63,8,50,83,180,788,36,66,6,228,11,3,10,7,37,1071535,986,375,1147,3.0586666666699998,TEDYouth;animals;biology;biomimicry;disease;health;insects;medical research;medicine;microbes;microbiology;plants;science,Yes,https://www.ted.com/talks/jaap_de_roode_how_butterflies_self_medicate
502,Extreme wingsuit flying,257,47,32,36,233,1730,13,214,7,24,484,15,5,354,9,1448571,3127,733,1130,1.54160982265,adventure;design;entertainment;exploration;extreme sports;flight;invention;sports;technology,Yes,https://www.ted.com/talks/ueli_gegenschatz_extreme_wingsuit_jumping
1126,On being wrong,464,654,551,400,961,9157,1252,2641,259,687,203,129,76,652,228,3998760,2378,1071,2487,2.32212885154,culture;failure,Yes,https://www.ted.com/talks/kathryn_schulz_on_being_wrong
618,The puzzle of motivation,348,1205,1078,490,3853,22816,4811,4828,190,4326,829,153,87,485,133,19029767,2982,1116,2701,2.4202508960599998,brain;business;creativity;motivation;science;social change;work,Yes,https://www.ted.com/talks/dan_pink_on_motivation
1377,The power of introverts,2490,1065,850,476,3185,30374,3413,10332,163,3659,445,81,88,3976,151,17842258,2060,1144,3240,2.83216783217,business;culture;introvert;psychology,Yes,https://www.ted.com/talks/susan_cain_the_power_of_introverts
1298,There are no mistakes on the bandstand,230,9,70,40,143,970,61,279,12,61,34,3,8,12,8,656234,2144,791,884,1.11757269279,culture;entertainment;jazz;music,Yes,https://www.ted.com/talks/stefon_harris_there_are_no_mistakes_on_the_bandstand
1909,A little-told tale of sex and sensuality,94,25,25,114,155,1874,203,251,80,450,29,37,30,287,94,1867394,1370,970,2136,2.2020618556700002,Egypt;Middle East;TED Fellows;culture;relationships;sex,Yes,https://www.ted.com/talks/shereen_el_feki_a_little_told_tale_of_sex_and_sensuality
